TransactionDateTime;SecurityId;Shares;AmountEur;TransactionType;Cancelled;TargetWeight;EffectiveWeight
11.10.2016 00:00:00;8;125;10000.0;1;0;0.1;0.0995
11.10.2016 00:00:00;16;487;10000.0;1;0;0.1;0.0999
11.10.2016 00:00:00;13;60;10000.0;1;0;0.1;0.0985
11.10.2016 00:00:00;9;205;10000.0;1;0;0.1;0.0995
11.10.2016 00:00:00;14;890;10000.0;1;0;0.1;0.1000
11.10.2016 00:00:00;19;890;10000.0;1;0;0.1;0.1000
11.10.2016 00:00:00;2;95;10000.0;1;0;0.1;0.0994
11.10.2016 00:00:00;12;155;10000.0;1;0;0.1;0.0995
11.10.2016 00:00:00;3;125;10000.0;1;0;0.1;0.1000
11.10.2016 00:00:00;7;73;10000.0;1;0;0.1;0.0994
